2011-09-13 18:00:11 Debug: Notice (8): Undefined index: login in [D:\xampp\htdocs\sal\app\views\layouts\default.ctp, line 40]
2011-09-13 18:04:50 Debug: Notice (8): Undefined variable: i in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 2]
2011-09-13 18:04:50 Debug: Notice (8): Undefined variable: class in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 2]
2011-09-13 18:04:50 Debug: Notice (8): Undefined variable: i in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 3]
2011-09-13 18:04:50 Debug: Notice (8): Undefined variable: class in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 3]
2011-09-13 18:04:50 Debug: Notice (8): Undefined variable: class in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 12]
2011-09-13 18:04:51 Debug: Notice (8): Undefined variable: class in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 13]
2011-09-13 18:07:30 Debug: Notice (8): Undefined variable: i in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 2]
2011-09-13 18:07:30 Debug: Notice (8): Undefined variable: i in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 3]
2011-09-13 18:10:09 Debug: Notice (8): Undefined variable: i in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 2]
2011-09-13 18:10:09 Debug: Notice (8): Undefined variable: class in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 2]
2011-09-13 18:10:09 Debug: Notice (8): Undefined variable: i in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 3]
2011-09-13 18:10:09 Debug: Notice (8): Undefined variable: class in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 3]
2011-09-13 18:10:09 Debug: Notice (8): Undefined index: created in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 4]
2011-09-13 18:10:09 Debug: Notice (8): Undefined index: modified in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 9]
2011-09-13 18:10:09 Debug: Notice (8): Undefined variable: class in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 12]
2011-09-13 18:10:09 Debug: Notice (8): Undefined variable: class in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 13]
2011-09-13 18:10:09 Debug: Notice (8): Undefined index: modified_by in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 14]
2011-09-13 18:10:23 Debug: Notice (8): Undefined index: created in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 4]
2011-09-13 18:10:23 Debug: Notice (8): Undefined index: modified in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 9]
2011-09-13 18:10:23 Debug: Notice (8): Undefined index: modified_by in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 14]
2011-09-13 18:11:24 Debug: Notice (8): Undefined variable: i in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 2]
2011-09-13 18:11:24 Debug: Notice (8): Undefined variable: class in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 2]
2011-09-13 18:11:24 Debug: Notice (8): Undefined variable: i in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 3]
2011-09-13 18:11:24 Debug: Notice (8): Undefined variable: class in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 3]
2011-09-13 18:11:24 Debug: Notice (8): Undefined index: created in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 4]
2011-09-13 18:11:24 Debug: Notice (8): Undefined index: modified in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 9]
2011-09-13 18:11:24 Debug: Notice (8): Undefined variable: class in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 12]
2011-09-13 18:11:24 Debug: Notice (8): Undefined variable: class in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 13]
2011-09-13 18:11:24 Debug: Notice (8): Undefined index: modified_by in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 14]
2011-09-13 18:20:31 Debug: Notice (8): Undefined variable: i in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 2]
2011-09-13 18:20:31 Debug: Notice (8): Undefined variable: class in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 2]
2011-09-13 18:20:31 Debug: Notice (8): Undefined variable: i in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 3]
2011-09-13 18:20:31 Debug: Notice (8): Undefined variable: class in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 3]
2011-09-13 18:20:31 Debug: Notice (8): Undefined index: created in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 4]
2011-09-13 18:20:31 Debug: Notice (8): Undefined index: modified in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 9]
2011-09-13 18:20:32 Debug: Notice (8): Undefined variable: class in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 12]
2011-09-13 18:20:32 Debug: Notice (8): Undefined variable: class in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 13]
2011-09-13 18:20:32 Debug: Notice (8): Undefined index: modified_by in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 14]
2011-09-13 18:22:08 Debug: Notice (8): Undefined variable: i in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 2]
2011-09-13 18:22:08 Debug: Notice (8): Undefined variable: class in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 2]
2011-09-13 18:22:08 Debug: Notice (8): Undefined variable: i in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 3]
2011-09-13 18:22:08 Debug: Notice (8): Undefined variable: class in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 3]
2011-09-13 18:22:08 Debug: Notice (8): Undefined index: created in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 4]
2011-09-13 18:22:08 Debug: Notice (8): Undefined index: modified in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 9]
2011-09-13 18:22:08 Debug: Notice (8): Undefined variable: class in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 12]
2011-09-13 18:22:08 Debug: Notice (8): Undefined variable: class in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 13]
2011-09-13 18:22:08 Debug: Notice (8): Undefined index: modified_by in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 14]
2011-09-13 18:24:17 Debug: Notice (8): Undefined index: created in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 4]
2011-09-13 18:24:17 Debug: Notice (8): Undefined index: modified in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 9]
2011-09-13 18:24:17 Debug: Notice (8): Undefined index: modified_by in [D:\xampp\htdocs\sal\app\views\elements\adminfields.ctp, line 14]
2011-09-13 19:43:01 Debug: Notice (8): Undefined index: np in [D:\xampp\htdocs\sal\app\views\licitacoes\view.ctp, line 21]
2011-09-13 19:46:40 Debug: Notice (8): Undefined index: papel in [D:\xampp\htdocs\sal\app\views\usuarios\index.ctp, line 43]
2011-09-13 20:40:39 Debug: Notice (8): Undefined index: senha in [D:\xampp\htdocs\sal\app\models\usuario.php, line 30]
2011-09-13 20:40:39 Debug: Notice (8): Undefined index: RegUser in [D:\xampp\htdocs\sal\app\models\usuario.php, line 30]
2011-09-13 21:22:23 Debug: Notice (8): Undefined index: Usuario in [D:\xampp\htdocs\sal\app\models\usuario.php, line 35]
2011-09-13 21:36:30 Debug: Notice (8): Undefined variable: data in [D:\xampp\htdocs\sal\app\models\usuario.php, line 37]
2011-09-13 21:36:30 Debug: Notice (8): Undefined property: Usuario::$Auth in [D:\xampp\htdocs\sal\app\models\usuario.php, line 37]
2011-09-13 21:36:57 Debug: Notice (8): Undefined index: senha in [D:\xampp\htdocs\sal\app\models\usuario.php, line 37]
2011-09-13 21:36:57 Debug: Notice (8): Undefined property: Usuario::$Auth in [D:\xampp\htdocs\sal\app\models\usuario.php, line 37]
2011-09-13 21:37:20 Debug: Notice (8): Undefined property: Usuario::$Auth in [D:\xampp\htdocs\sal\app\models\usuario.php, line 37]
2011-09-13 21:39:09 Debug: Notice (8): Undefined property: Usuario::$Auth in [D:\xampp\htdocs\sal\app\models\usuario.php, line 37]
2011-09-14 16:29:05 Debug: Notice (8): Undefined variable: javascript in [D:\xampp\htdocs\sal\app\views\layouts\default.ctp, line 30]
2011-09-14 16:34:00 Debug: Notice (8): Undefined variable: datePicker in [D:\xampp\htdocs\sal\app\views\licitacoes\form.ctp, line 23]
2011-09-14 17:20:19 Debug: Notice (8): Undefined variable: format in [D:\xampp\htdocs\sal\app\views\helpers\date_picker.php, line 23]
2011-09-16 17:42:16 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\eventos\index.ctp, line 54]
2011-09-16 17:48:46 Debug: Notice (8): Undefined index: fk in [D:\xampp\htdocs\sal\app\views\eventos\index.ctp, line 54]
